"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Firesong and Sunspeaker","WR","R","4878","5.46","516","8.92","142","","20","","26","","46","","96","",""
"Firja, Judge of Valor","WB","U","18895","5.44","2179","8.32","5596","55.4%","873","53.5%","1483","58.1%","2356","56.4%","3260","54.7%","1.6pp"
"Grimgrin, Corpse-Born","UB","M","934","2.11","570","2.24","3228","61.4%","524","62.0%","955","68.8%","1479","66.4%","1768","57.5%","8.9pp"
"Gyruda, Doom of Depths","UB","R","1681","1.89","1128","1.97","6229","59.8%","970","60.4%","1722","63.4%","2692","62.3%","3542","57.5%","4.8pp"
"Imoti, Celebrant of Bounty","UG","U","18106","5.05","5097","6.19","20769","58.1%","3365","58.5%","5520","61.5%","8885","60.4%","11780","56.3%","4.0pp"
"Jegantha, the Wellspring","RG","R","3301","3.63","846","4.34","979","57.7%","170","","259","62.2%","429","59.0%","563","56.7%","2.3pp"
"Judith, the Scourge Diva","BR","R","3109","3.47","790","4.24","3465","59.8%","613","63.0%","867","65.2%","1480","64.3%","1993","56.4%","7.8pp"
"Juri, Master of the Revue","BR","U","20075","6.04","3044","8.20","9469","57.5%","1612","56.7%","2389","58.4%","4001","57.7%","5490","57.3%","0.4pp"
"Kaheera, the Orphanguard","WG","R","4465","4.62","522","7.50","789","","136","","166","","302","51.0%","488","55.1%","-4.1pp"
"Keruga, the Macrosage","UG","R","2178","2.33","896","2.70","4968","59.4%","785","57.1%","1306","60.6%","2091","59.3%","2865","59.4%","-0.1pp"
"Kroxa, Titan of Death's Hunger","BR","M","1139","2.47","378","2.57","1740","59.9%","266","60.5%","455","65.3%","721","63.5%","1018","57.2%","6.4pp"
"Lathiel, the Bounteous Dawn","WG","R","3801","4.15","396","6.92","712","","121","","166","","287","49.1%","418","56.2%","-7.1pp"
"Lurrus of the Dream-Den","WB","R","1588","1.78","1025","1.86","5313","61.2%","917","62.2%","1338","64.3%","2255","63.5%","3075","59.5%","3.9pp"
"Lutri, the Spellchaser","UR","R","2557","2.73","1193","2.91","2065","59.2%","337","53.1%","521","57.4%","858","55.7%","1212","61.7%","-6.0pp"
"Niv-Mizzet Reborn","WUBRG","M","2028","4.18","359","5.48","778","","108","","205","59.5%","313","62.3%","463","48.4%","13.9pp"
"Obosh, the Preypiercer","BR","R","2634","2.73","601","3.29","2789","57.0%","455","53.6%","711","59.5%","1166","57.2%","1630","56.7%","0.5pp"
"Radha, Coalition Warlord","RG","U","23067","7.67","2042","11.88","948","54.7%","153","","245","53.5%","398","51.3%","545","57.2%","-6.0pp"
"Raff, Weatherlight Stalwart","WU","U","18338","5.18","4657","6.36","19060","61.1%","3300","60.6%","4496","61.2%","7796","60.9%","11236","61.1%","-0.2pp"
"Reyav, Master Smith","WR","U","21326","6.85","3002","9.25","5686","59.6%","917","63.0%","1201","62.2%","2118","62.6%","3560","57.8%","4.8pp"
"Rona, Sheoldred's Faithful","UB","U","23125","7.48","2891","10.90","3631","57.7%","581","55.2%","931","58.3%","1512","57.1%","2125","58.0%","-0.8pp"
"Shanna, Sisay's Legacy","WG","U","20420","6.25","1995","9.37","4933","59.2%","864","62.0%","1007","57.6%","1871","59.6%","3043","58.9%","0.8pp"
"Taigam, Ojutai Master","WU","R","3814","4.19","529","6.03","1231","60.6%","214","59.3%","299","57.2%","513","58.1%","719","62.2%","-4.1pp"
"Teysa Karlov","WB","R","3755","4.11","439","6.42","933","55.1%","140","","215","52.6%","355","52.4%","573","56.9%","-4.5pp"
"Umori, the Collector","BG","R","2394","2.49","667","3.07","3718","59.6%","556","61.9%","1010","60.6%","1566","61.0%","2154","58.4%","2.6pp"
"Yarok, the Desecrated","UBG","M","1142","2.70","392","3.06","1764","56.3%","314","53.2%","486","60.9%","800","57.9%","971","54.9%","3.0pp"
"Yorion, Sky Nomad","WU","R","1593","1.81","1135","1.88","4872","62.1%","799","62.3%","1293","67.7%","2092","65.6%","2813","59.4%","6.3pp"
"Zirda, the Dawnwaker","WR","R","3504","3.58","553","4.89","2306","58.9%","381","58.3%","548","59.9%","929","59.2%","1378","58.7%","0.5pp"
