"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Haradrim Spearmaster","R","C","145284","5.77","24113","8.09","97121","57.4%","16760","57.0%","23386","57.5%","40146","57.3%","56984","57.4%","-0.1pp"
"Hew the Entwood","R","M","8431","5.06","1191","7.67","100","","13","","20","","33","","67","",""
"Improvised Club","R","C","132970","5.12","29562","6.78","144474","58.0%","23144","55.3%","37727","61.0%","60871","58.8%","83610","57.4%","1.4pp"
"Moria Marauder","R","R","7681","2.49","3226","2.60","16625","57.4%","2907","61.0%","4227","56.4%","7134","58.3%","9519","56.7%","1.5pp"
"Oliphaunt","R","C","141750","5.40","25512","7.63","113731","56.8%","19557","55.8%","28939","58.0%","48496","57.1%","65161","56.6%","0.5pp"
"Olog-hai Crusher","R","C","161212","7.07","21906","10.25","36142","55.8%","5747","54.5%","8770","55.1%","14517","54.9%","21665","56.4%","-1.5pp"
"Quarrel's End","R","C","151424","6.22","30518","8.23","121418","58.3%","21060","58.1%","32160","60.6%","53220","59.6%","68214","57.2%","2.4pp"
"Rally at the Hornburg","R","C","119510","4.58","37647","5.49","208530","59.8%","37478","62.3%","53461","62.0%","90939","62.1%","117378","57.9%","4.3pp"
"Ranger's Firebrand","R","U","25894","2.72","11194","3.07","64293","59.0%","11140","60.0%","17195","62.6%","28335","61.6%","36027","57.0%","4.6pp"
"Relentless Rohirrim","R","C","143040","5.66","28866","7.53","124789","58.5%","20204","58.2%","32307","59.4%","52511","58.9%","72326","58.1%","0.8pp"
"Rising of the Day","R","U","57744","7.00","6033","10.91","2228","50.5%","372","48.4%","487","46.0%","859","47.0%","1364","52.7%","-5.7pp"
"Rohirrim Lancer","R","C","140514","5.58","27527","7.50","124791","57.6%","21979","59.3%","30954","56.8%","52933","57.8%","71806","57.5%","0.3pp"
"Rush the Room","R","C","170484","8.43","20886","12.01","8751","54.0%","1286","53.4%","2094","53.0%","3380","53.2%","5370","54.5%","-1.3pp"
"Smite the Deathless","R","C","75937","2.95","30848","3.44","176435","58.2%","30532","58.9%","47038","60.8%","77570","60.1%","99096","56.7%","3.4pp"
"Spiteful Banditry","R","M","2503","1.72","1653","1.67","8392","56.5%","1440","57.4%","2240","61.9%","3680","60.2%","4686","53.8%","6.4pp"
